102	05:50	07:30	08:50	10:10	11:30	12:40	14:00	15:10	16:30	17:50	19:10	20:40	22:20
113	05:52	07:32	08:52	10:12	11:32	12:42	14:02	15:12	16:32	17:52	19:12	20:42	22:22
121	05:54	07:34	08:54	10:14	11:34	12:44	14:04	15:14	16:34	17:54	19:14	20:44	22:24
131	05:55	07:35	08:55	10:15	11:35	12:45	14:05	15:15	16:35	17:55	19:15	20:45	22:25
681	~	~	~	~	11:38	12:48	14:08	15:18	~	~	~	~	~
152	05:57	07:37	08:57	10:17	11:42	12:52	14:12	15:22	16:37	17:57	19:17	20:47	22:27
291	05:58	07:38	08:58	10:18	11:44	12:54	14:14	15:24	16:39	17:59	19:19	20:49	22:28
261	05:59	07:39	08:59	10:19	11:45	12:55	14:15	15:25	16:40	18:00	19:20	20:50	22:29
161	06:00	07:40	09:00	10:20	11:46	12:56	14:16	15:26	16:41	18:01	19:21	20:51	22:30
172	06:01	07:41	09:01	10:21	11:47	12:57	14:17	15:27	16:42	18:02	19:22	20:52	22:31
182	06:03	07:43	09:03	10:23	11:49	12:59	14:19	15:29	16:44	18:04	19:24	20:54	22:33
183	06:06	07:46	09:06	10:26	11:52	13:02	14:22	15:32	16:47	18:07	19:27	20:57	22:36
412	06:07	07:47	09:07	10:27	11:53	13:03	14:23	15:33	16:48	18:08	19:28	20:58	22:37
582	06:08	07:48	09:08	10:28	11:55	13:05	14:25	15:35	16:50	18:10	19:30	20:59	22:38
691	06:09	07:49	09:09	10:29	11:56	13:06	14:26	15:36	16:51	18:11	19:31	21:00	22:39
670	06:10	07:50	09:10	10:30	11:57	13:07	14:27	15:37	16:52	18:12	19:32	21:01	22:40
431	06:11	07:51	09:11	10:31	11:58	13:08	14:28	15:38	16:53	18:13	19:33	21:02	22:41
441	06:12	07:52	09:12	10:32	11:59	13:09	14:29	15:39	16:54	18:14	19:34	21:03	22:42
451	06:12	07:52	09:12	10:32	12:00	13:10	14:30	15:40	16:55	18:15	19:35	21:03	22:42
303	06:14	07:54	09:14	10:34	12:02	13:12	14:32	15:42	16:57	18:17	19:37	21:05	22:44
301	06:15	07:55	09:15	10:35	12:03	13:13	14:33	15:43	16:58	18:18	19:38	21:06	22:45
311	06:16	07:56	09:16	10:36	12:04	13:14	14:34	15:44	16:59	18:19	19:39	21:07	22:46
323	06:17	07:57	09:17	10:37	12:05	13:15	14:35	15:45	17:00	18:20	19:40	21:08	22:47
351	06:19	07:59	09:19	10:39	12:07	13:17	14:37	15:47	17:02	18:22	19:42	21:10	22:49
671	06:20	08:00	09:20	10:40	12:08	13:18	14:38	15:48	17:03	18:23	19:43	21:11	22:50
361	06:21	08:01	09:21	10:41	12:09	13:19	14:39	15:49	17:04	18:24	19:44	21:12	22:51
371	06:23	08:03	09:23	10:43	12:12	13:22	14:42	15:52	17:07	18:27	19:47	21:14	22:53
381	06:24	08:04	09:24	10:44	12:13	13:23	14:43	15:53	17:08	18:28	19:48	21:15	22:54
391	06:25	08:05	09:25	10:45	12:14	13:24	14:44	15:54	17:09	18:29	19:49	21:16	22:55
181	06:26	08:06	09:26	10:46	12:15	13:25	14:45	15:55	17:10	18:30	19:50	21:17	22:56
171	06:27	08:07	09:27	10:47	12:17	13:27	14:47	15:57	17:12	18:32	19:52	21:18	22:57
163	06:28	08:08	09:28	10:48	12:18	13:28	14:48	15:58	17:13	18:33	19:53	21:19	22:58
251	06:29	08:09	09:29	10:49	12:19	13:29	14:49	15:59	17:14	18:34	19:54	21:20	22:59
292	06:31	08:11	09:31	10:51	12:21	13:31	14:51	16:01	17:16	18:36	19:56	21:22	23:01
153	06:33	08:13	09:33	10:53	12:23	13:33	14:53	16:03	17:18	18:38	19:58	21:24	23:03
681	~	~	~	~	12:26	13:36	14:56	16:06	~	~	~	~	~
132	06:34	08:14	09:34	10:54	12:29	13:39	14:59	16:09	17:20	18:40	20:00	21:26	23:05
122	06:35	08:15	09:35	10:55	12:30	13:40	15:00	16:10	17:21	18:41	20:01	21:27	23:06
111	06:38	08:18	09:38	10:58	12:33	13:43	15:03	16:13	17:24	18:44	20:04	21:30	23:09
102	06:40	08:20	09:40	11:00	12:35	13:45	15:05	16:15	17:26	18:46	20:06	21:32	23:11
