route_id,route_short_name,route_long_name,route_color,route_text_color
1,M1,Plac Dworcowy - Serbinów przez Nowe Miasto,CD1719,FFFFFF
2,M2,Plac Dworcowy - Serbinów przez Szpital,3FA535,FFFFFF
3,M3,Osiedlowa - Rondo Żołnierzy Wyklętych,006DB1,FFFFFF
4,M4,Plac Dworcowy - Spacerowa,F28A1C,FFFFFF
5,Z3,Osiedlowa - Dźwigowa,3E48C7,FFFFFF
