stop_id,stop_code,stop_name,stop_lat,stop_lon
195,195,Mińsk Maz. Szpital 04,52.174330,21.577800
196,196,Mińsk Maz. Szpitalna 01,52.173532,21.570414
197,197,Mińsk Maz. Szpitalna 02,52.173413,21.569630
198,198,Mińsk Maz. Targowisko 01,52.185330,21.556350
199,199,Mińsk Maz. Targowisko 06,52.185520,21.556240
200,200,Mińsk Maz. Tartaczna 01,52.181160,21.549720
201,201,Mińsk Maz. Tartaczna 02,52.181220,21.549350
202,202,Mińsk Maz. Urząd Gminy 03,52.183682,21.565268
203,203,Mińsk Maz. Urząd Gminy 04,52.183988,21.564223
204,204,Mińsk Maz. Urząd Miasta 03,52.181066,21.559278
205,205,Mińsk Maz. Urząd Skarbowy 01,52.183700,21.562180
206,206,Mińsk Maz. Urząd Skarbowy 02,52.183810,21.562400
207,207,Mińsk Maz. Warszawska 01,52.186690,21.544030
208,208,Mińsk Maz. Warszawskie Przedmieście - Osiedle 02,52.188450,21.544460
209,209,Mińsk Maz. Warszawskie Przedmieście 03,52.187630,21.548350
210,210,Mińsk Maz. Warszawskie Przedmieście 04,52.187520,21.548000
211,211,Mińsk Maz. Wiejska 01,52.165404,21.539463
212,212,Mińsk Maz. Wiejska 02,52.165397,21.538943
213,213,Mińsk Maz. Widok 17,52.173540,21.549050
214,214,Mińsk Maz. Widok 18,52.173716,21.550192
215,215,Mińsk Maz. Zespół Szkolno-Przedszkolny nr 1 02,52.177408,21.576096
216,216,Mińsk Maz. Łupińskiego 01,52.172631,21.587660
217,217,Mińsk Maz. Łupińskiego 02,52.172270,21.587830
218,218,Mińsk Maz. Łupińskiego 03,52.172721,21.586972
219,219,Mińsk Maz. Łąkowa 01,52.170740,21.564794
220,220,Mińsk Maz. Łąkowa 02,52.170816,21.564864
221,221,Mińsk Maz. Śniadeckich 01,52.174030,21.574800
222,222,Mińsk Maz. Śniadeckich 04,52.173850,21.574510
223,223,Mińsk Maz. Żwirowa 01,52.182375,21.583805
224,224,Mińsk Maz. Żwirowa 04,52.182129,21.583918
