route_id,route_short_name,route_long_name,route_color,route_text_color
1,C01,Cegłów - Kuflew - Cegłów,E72512,FFFFFF
2,C02,Cegłów - Kiczki - Cegłów,E72512,FFFFFF
3,P01,Mińsk Maz. - Cisówka,E72512,FFFFFF
4,P02,Okuniew - Stanisławów,E72512,FFFFFF
5,P03,Okuniew - Michałów,E72512,FFFFFF
6,P04,Mińsk Maz. - Wólka Piecząca,E72512,FFFFFF
7,P05,Mińsk Maz. - Grzebowilk,E72512,FFFFFF
8,P06,Mińsk Maz. - Cisie,E72512,FFFFFF
9,P07,Mińsk Maz. - Dobre,E72512,FFFFFF
10,P08,Mińsk Maz. - Garczyn Mały,E72512,FFFFFF
