route_id,route_short_name,route_long_name,route_color,route_text_color
1,Ząbki-1,Ząbki-1,3B7D1E,
2,Ząbki-2M,Ząbki-2M,290EF9,
3,Ząbki-3,Ząbki-3,E87022,
4,Ząbki-4M,Ząbki-4M,82FBFF,
