block	31	31	31	31
188	07:22	09:14	11:57	13:57
152	07:24	09:16	11:59	13:59
168	07:26	09:18	12:01	14:01
218	07:28	09:19	12:03	14:03
116	07:29	09:20	12:04	14:04
194	07:30	09:21	12:05	14:05
109	07:31	09:22	12:06	14:06
185	07:32	09:24	12:07	14:07
139	07:33	09:26	12:08	14:08
177	07:34	09:27	12:09	14:09
107	07:35	09:28	12:10	14:10
110	07:36	09:29	12:11	14:11
203	07:37	09:30	12:12	14:12
205	07:38	09:31	12:13	14:13
132	07:40	09:32	12:15	14:15
172	07:42	09:34	12:17	14:17
