block	31	31	31	31
172	10:55	14:30	17:20	19:00
170	10:56	14:31	17:21	19:01
150	10:57	14:32	17:22	19:02
200	10:58	14:33	17:23	19:03
126	10:59	14:34	17:24	19:04
160	11:00	14:35	17:25	19:06
174	11:02	14:37	17:27	19:07
161	11:03	14:38	17:28	19:08
108	11:05	14:40	17:30	19:10
195	11:06	14:41	17:31	19:11
117	11:07	14:42	17:32	19:12
216	11:08	14:43	17:33	19:13
182	11:10	14:45	17:35	19:15
