block	23	23	23	23	23	23	23	23	23	23
178	07:55	09:10	10:50	12:10	13:30	14:50	16:05	17:30	18:55	20:20
208	07:56	09:11	10:51	12:11	13:31	14:52	16:07	17:32	18:57	20:22
210	07:57	09:12	10:52	12:12	13:32	14:53	16:08	17:33	18:58	20:23
184	07:58	09:13	10:53	12:13	13:33	14:54	16:09	17:34	18:59	20:24
198	07:59	09:14	10:54	12:14	13:34	14:55	16:10	17:35	19:00	20:25
100	08:00	09:15	10:56	12:16	13:36	14:56	16:11	17:36	19:01	20:26
140	08:02	09:17	10:58	12:18	13:38	14:57	16:12	17:37	19:02	20:27
174	08:04	09:19	11:00	12:20	13:39	14:58	16:13	17:38	19:03	20:28
161	08:05	09:20	11:01	12:21	13:41	14:59	16:14	17:39	19:04	20:29
108	08:07	09:22	11:03	12:23	13:43	15:00	16:15	17:40	19:05	20:30
222	08:08	09:23	11:04	12:24	13:44	15:02	16:17	17:42	19:07	20:32
196	08:09	09:24	11:05	12:25	13:45	15:03	16:18	17:43	19:08	20:33
188	08:11	09:26	11:08	12:28	13:48	15:04	16:19	17:44	19:09	20:34
137	08:12	09:28	11:09	12:29	13:49	15:06	16:21	17:46	19:11	20:36
136	08:13	09:29	11:10	12:30	13:50	15:07	16:22	17:47	19:12	20:37
146	08:14	09:30	11:12	12:32	13:52	15:08	16:23	17:48	19:13	20:38
220	08:15	09:31	11:13	12:33	13:53	15:09	16:24	17:49	19:14	20:39
120	08:16	09:32	11:15	12:35	13:55	15:11	16:26	17:51	19:16	20:41
179	08:17	09:33	11:16	12:36	13:56	15:12	16:27	17:52	19:17	20:42
123	08:18	09:34	11:17	12:37	13:57	15:14	16:29	17:54	19:19	20:44
192	08:20	09:36	11:19	12:39	13:59	15:15	16:30	17:55	19:20	20:45
213	08:21	09:37	11:20	12:40	14:00	15:16	16:31	17:56	19:21	20:46
155	08:22	09:38	11:21	12:41	14:01	15:17	16:32	17:57	19:22	20:47
212	08:23	09:39	11:22	12:42	14:02	15:18	16:33	17:58	19:23	20:48
135	08:24	09:40	11:23	12:43	14:03	15:19	16:34	17:59	19:24	20:49
166	08:25	09:41	11:24	12:44	14:04	15:19	16:34	17:59	19:24	20:49
