shape	P08	P08A	P08	P08A	P08	P08A	P08	P08A	P08	P08A	P08	P08A	P08	P08A	P08	P08A	P08	P08A	P08S	P08A	P08	P08A	P08	P08A	P08	P08A	P08	P08A	P08S
cal	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	C	C	C	C	C	C	C	C	C	C
block	1081	1082	1081	1082	1081	1082	1081	1082	1081	1082	1081	1082	1081	1082	1081	1082	1081	1082	1081	2081	2081	2081	2081	2081	2081	2081	2081	2081	2081
457	05:20	06:27	07:20	08:27	09:20	10:27	11:20	12:27	13:20	14:27	15:20	16:27	17:20	18:27	19:20	20:27	21:20	22:27	23:20	05:27	07:20	09:27	11:20	13:27	15:20	17:27	19:20	21:27	23:20
455	05:21	06:28	07:21	08:28	09:21	10:28	11:21	12:28	13:21	14:28	15:21	16:28	17:21	18:28	19:21	20:28	21:21	22:28	23:21	05:28	07:21	09:28	11:21	13:28	15:21	17:28	19:21	21:28	23:21
239	05:24	06:31	07:24	08:31	09:24	10:31	11:24	12:31	13:24	14:31	15:24	16:31	17:24	18:31	19:24	20:31	21:24	22:31	23:24	05:31	07:24	09:31	11:24	13:31	15:24	17:31	19:24	21:31	23:24
249	~	06:32	~	08:32	~	10:32	~	12:32	~	14:32	~	16:32	~	18:32	~	20:32	~	22:32	~	05:32	~	09:32	~	13:32	~	17:32	~	21:32	~
247	~	06:33	~	08:33	~	10:33	~	12:33	~	14:33	~	16:33	~	18:33	~	20:33	~	22:33	~	05:33	~	09:33	~	13:33	~	17:33	~	21:33	~
245	~	06:34	~	08:34	~	10:34	~	12:34	~	14:34	~	16:34	~	18:34	~	20:34	~	22:34	~	05:34	~	09:34	~	13:34	~	17:34	~	21:34	~
544	~	06:35	~	08:35	~	10:35	~	12:35	~	14:35	~	16:35	~	18:35	~	20:35	~	22:35	~	05:35	~	09:35	~	13:35	~	17:35	~	21:35	~
145	~	06:36	~	08:36	~	10:36	~	12:36	~	14:36	~	16:36	~	18:36	~	20:36	~	22:36	~	05:36	~	09:36	~	13:36	~	17:36	~	21:36	~
143	~	06:37	~	08:37	~	10:37	~	12:37	~	14:37	~	16:37	~	18:37	~	20:37	~	22:37	~	05:37	~	09:37	~	13:37	~	17:37	~	21:37	~
241	05:26	~	07:26	~	09:26	~	11:26	~	13:26	~	15:26	~	17:26	~	19:26	~	21:26	~	~	~	07:26	~	11:26	~	15:26	~	19:26	~	~
243	05:27	~	07:27	~	09:27	~	11:27	~	13:27	~	15:27	~	17:27	~	19:27	~	21:27	~	~	~	07:27	~	11:27	~	15:27	~	19:27	~	~
313	05:32	~	07:32	~	09:32	~	11:32	~	13:32	~	15:32	~	17:32	~	19:32	~	21:32	~	~	~	07:32	~	11:32	~	15:32	~	19:32	~	~
383	05:34	~	07:34	~	09:34	~	11:34	~	13:34	~	15:34	~	17:34	~	19:34	~	21:34	~	~	~	07:34	~	11:34	~	15:34	~	19:34	~	~
381	05:35	~	07:35	~	09:35	~	11:35	~	13:35	~	15:35	~	17:35	~	19:35	~	21:35	~	~	~	07:35	~	11:35	~	15:35	~	19:35	~	~
524	05:36	~	07:36	~	09:36	~	11:36	~	13:36	~	15:36	~	17:36	~	19:36	~	21:36	~	~	~	07:36	~	11:36	~	15:36	~	19:36	~	~
508	05:37	~	07:37	~	09:37	~	11:37	~	13:37	~	15:37	~	17:37	~	19:37	~	21:37	~	~	~	07:37	~	11:37	~	15:37	~	19:37	~	~
274	05:41	06:38	07:41	08:38	09:41	10:38	11:41	12:38	13:41	14:38	15:41	16:38	17:41	18:38	19:41	20:38	21:41	22:38	~	05:38	07:41	09:38	11:41	13:38	15:41	17:38	19:41	21:38	~
296	05:43	06:40	07:43	08:40	09:43	10:40	11:43	12:40	13:43	14:40	15:43	16:40	17:43	18:40	19:43	20:40	21:43	22:40	~	05:40	07:43	09:40	11:43	13:40	15:43	17:40	19:43	21:40	~
566	05:44	06:41	07:44	08:41	09:44	10:41	11:44	12:41	13:44	14:41	15:44	16:41	17:44	18:41	19:44	20:41	21:44	22:41	~	05:41	07:44	09:41	11:44	13:41	15:44	17:41	19:44	21:41	~
568	05:46	06:43	07:46	08:43	09:46	10:43	11:46	12:43	13:46	14:43	15:46	16:43	17:46	18:43	19:46	20:43	21:46	22:43	~	05:43	07:46	09:43	11:46	13:43	15:46	17:43	19:46	21:43	~
189	05:48	06:45	07:48	08:45	09:48	10:45	11:48	12:45	13:48	14:45	15:48	16:45	17:48	18:45	19:48	20:45	21:48	22:45	~	05:45	07:48	09:45	11:48	13:45	15:48	17:45	19:48	21:45	~
