shape	P08RS	P08R	P08RA	P08R	P08RA	P08R	P08RA	P08R	P08RA	P08R	P08RA	P08R	P08RA	P08R	P08RA	P08R	P08RA	P08R	P08RA	P08RS	P08R	P08RA	P08R	P08RA	P08R	P08RA	P08R	P08RA	P08R
cal	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	C	C	C	C	C	C	C	C	C	C
block	1081	1082	1081	1082	1081	1082	1081	1082	1081	1082	1081	1082	1081	1082	1081	1082	1081	1082	1081	2081	2081	2081	2081	2081	2081	2081	2081	2081	2081
123	~	~	06:19	~	08:19	~	10:19	~	12:19	~	14:19	~	16:19	~	18:19	~	20:19	~	22:19	~	~	08:19	~	12:19	~	16:19	~	20:19	~
100	~	~	06:20	~	08:20	~	10:20	~	12:20	~	14:20	~	16:20	~	18:20	~	20:20	~	22:20	~	~	08:20	~	12:20	~	16:20	~	20:20	~
121	~	~	06:21	~	08:21	~	10:21	~	12:21	~	14:21	~	16:21	~	18:21	~	20:21	~	22:21	~	~	08:21	~	12:21	~	16:21	~	20:21	~
278	~	~	06:23	~	08:23	~	10:23	~	12:23	~	14:23	~	16:23	~	18:23	~	20:23	~	22:23	~	~	08:23	~	12:23	~	16:23	~	20:23	~
280	~	~	06:24	~	08:24	~	10:24	~	12:24	~	14:24	~	16:24	~	18:24	~	20:24	~	22:24	~	~	08:24	~	12:24	~	16:24	~	20:24	~
406	04:26	05:26	06:26	07:26	08:26	09:26	10:26	11:26	12:26	13:26	14:26	15:26	16:26	17:26	18:26	19:26	20:26	21:26	22:26	04:26	06:26	08:26	10:26	12:26	14:26	16:26	18:26	20:26	22:26
404	04:27	05:27	06:27	07:27	08:27	09:27	10:27	11:27	12:27	13:27	14:27	15:27	16:27	17:27	18:27	19:27	20:27	21:27	22:27	04:27	06:27	08:27	10:27	12:27	14:27	16:27	18:27	20:27	22:27
316	04:29	05:29	06:29	07:29	08:29	09:29	10:29	11:29	12:29	13:29	14:29	15:29	16:29	17:29	18:29	19:29	20:29	21:29	22:29	04:29	06:29	08:29	10:29	12:29	14:29	16:29	18:29	20:29	22:29
363	04:30	05:30	06:30	07:30	08:30	09:30	10:30	11:30	12:30	13:30	14:30	15:30	16:30	17:30	18:30	19:30	20:30	21:30	22:30	04:30	06:30	08:30	10:30	12:30	14:30	16:30	18:30	20:30	22:30
348	04:31	05:31	06:31	07:31	08:31	09:31	10:31	11:31	12:31	13:31	14:31	15:31	16:31	17:31	18:31	19:31	20:31	21:31	22:31	04:31	06:31	08:31	10:31	12:31	14:31	16:31	18:31	20:31	22:31
326	04:32	05:32	06:32	07:32	08:32	09:32	10:32	11:32	12:32	13:32	14:32	15:32	16:32	17:32	18:32	19:32	20:32	21:32	22:32	04:32	06:32	08:32	10:32	12:32	14:32	16:32	18:32	20:32	22:32
369	04:33	05:33	06:33	07:33	08:33	09:33	10:33	11:33	12:33	13:33	14:33	15:33	16:33	17:33	18:33	19:33	20:33	21:33	22:33	04:33	06:33	08:33	10:33	12:33	14:33	16:33	18:33	20:33	22:33
323	04:34	05:34	06:34	07:34	08:34	09:34	10:34	11:34	12:34	13:34	14:34	15:34	16:34	17:34	18:34	19:34	20:34	21:34	22:34	04:34	06:34	08:34	10:34	12:34	14:34	16:34	18:34	20:34	22:34
354	04:36	05:36	06:36	07:36	08:36	09:36	10:36	11:36	12:36	13:36	14:36	15:36	16:36	17:36	18:36	19:36	20:36	21:36	22:36	04:36	06:36	08:36	10:36	12:36	14:36	16:36	18:36	20:36	22:36
356	04:37	05:37	06:37	07:37	08:37	09:37	10:37	11:37	12:37	13:37	14:37	15:37	16:37	17:37	18:37	19:37	20:37	21:37	22:37	04:37	06:37	08:37	10:37	12:37	14:37	16:37	18:37	20:37	22:37
336	04:38	05:38	06:38	07:38	08:38	09:38	10:38	11:38	12:38	13:38	14:38	15:38	16:38	17:38	18:38	19:38	20:38	21:38	22:38	04:38	06:38	08:38	10:38	12:38	14:38	16:38	18:38	20:38	22:38
328	04:40	05:40	06:40	07:40	08:40	09:40	10:40	11:40	12:40	13:40	14:40	15:40	16:40	17:40	18:40	19:40	20:40	21:40	22:40	04:40	06:40	08:40	10:40	12:40	14:40	16:40	18:40	20:40	22:40
