block	1002
133	06:30
420	06:32
435	06:42
431	06:45
272	06:48
266	06:50
268	06:52
270	06:54
468	06:55
470	06:56
416	06:57
418	06:58
212	07:00
429	07:04
427	07:06
425	07:08
472	07:10
133	07:15
